Sample,14G1.5M.1,14G1.5M.2,14G1.5M.merged,14G2.6M.1
Label,14G1,14G1,14G1,14G2
E9Q414,7.984014273,8.46466832,10.34549474,11.71420085
O08553,8.318038186,8.023423469,9.226623272,6.97486707
O08582,7.779123673,7.39260706,8.106367312,8.212270033
O35083,7.797322525,9.052967972,8.977446072,7.987162604
O55131,5.90171972,7.524041947,8.653630624,8.729152064
P01027,10.61917013,9.361655327,11.51422011,13.30364192
P01029,7.93134521,7.372318338,7.962627845,8.371937203
P01942,8.227632163,7.466341436,8.824888641,6.984368908
P02088,4.788403595,7.603173148,5.839035826,8.105961312
P02089,4.788403595,7.921510841,5.839035826,7.0660193
P02301,6.668178746,8.107304959,6.431921751,8.342427348
P02535.2,10.26383406,9.188651303,11.35657605,7.270168327
P02535.3,10.26383406,9.188651303,11.35657605,8.34041313
P02535,10.26383406,9.188651303,11.35657605,9.138428617
P04104,13.00215417,11.85217016,13.6840552,11.30669702
P05064,7.132136167,8.230348524,8.846024665,7.577641533
P05213,7.19090027,8.440257473,8.914899708,9.355956494
P05784,7.623696474,10.22721882,8.073157624,10.13530041
P07356,7.928680822,7.904439883,9.121685302,8.797111314
P07724,14.1799168,12.87501147,15.15670397,15.79627423
P07901,7.706885584,6.332406737,7.870418982,7.984339266
P08113,9.85150619,7.942322121,8.162332691,7.860021587
P08730.2,8.469282338,10.22721882,6.008724885,10.13530041
P08730,8.853478248,10.22721882,8.742485834,10.13530041
P09103,6.602248348,8.630740274,8.144705973,8.539960385
P09411,8.012307649,8.614758236,7.448924469,8.668165616
P10126,7.752077221,8.053216539,8.102683841,8.790909001
P10854,6.957479669,6.633609914,8.610976613,7.816203344
P11087,12.3897786,11.41045883,13.18605645,8.06986622
P11276,8.440842063,11.90214992,6.801996261,9.667056496
P11499,8.438438391,8.987610285,8.330355076,8.265752943
P14069,8.424442601,9.342972645,8.410218728,7.583879406
P14206,8.274727289,5.912226849,9.574354173,8.239809415
P14211,7.942104558,8.271097285,8.782422204,9.167744224
P16125,8.405002928,7.428773163,9.94101313,10.42837823
P16858,8.663725509,8.069362929,8.305372104,6.165320699
P17182,6.34051297,8.902709445,9.159888883,8.723929568
P17742,10.6822403,7.734474319,8.952503009,9.101866904
P18760,8.276163105,8.450475708,7.549668422,7.149707031
P19001,6.854937986,10.22721882,7.940037792,10.13530041
P19157,5.129592477,8.626685043,8.889767018,9.171844243
P20029,7.197678364,8.092317179,7.898382352,8.096732142
P20152,9.427409367,8.267239714,6.337923579,9.406905761
P21107.2,6.551014531,7.847402916,9.498236409,9.577716511
P23927,5.936332589,7.553188586,9.65228914,7.173521187
P26041,9.201480985,6.296336695,6.369388578,10.06736837
P26443,7.98345158,8.210194009,10.00471693,8.970303728
P27773,8.41234146,6.318901837,9.353459086,9.15733635
P28665,2.294157673,6.635965842,8.453164005,10.16621271
P29699,11.62134417,11.16742796,12.65285361,13.99413372
P35441,11.7017603,10.79931518,12.51827837,10.57983276
P40124,7.50286382,7.87849388,7.629088242,7.004576126
P45376,6.846797617,9.076058065,7.473395966,7.782667366
P48036,6.974508127,8.236490149,9.832994271,8.383780785
P48678.2,7.026414059,6.79955662,7.085942347,7.582274165
P48678,6.79722551,8.442421268,5.932767056,6.677263596
P50446,12.49626114,8.363710098,10.07395952,10.99163845
P52480,8.552192477,7.718677764,7.561238598,7.161895476
P56480,8.800575945,7.405640124,9.138467332,8.580832426
P58252,8.120551728,7.691302478,10.0912362,7.981416609
P58774.2,8.409602595,8.24650253,7.68053558,8.716031379
P59999,8.707394198,9.608434391,7.300896799,7.556529061
P60710,10.46095033,9.504766081,7.928472554,9.805531845
P60843,9.960388074,8.112426196,7.773736996,7.40417887
P61205,8.276562079,7.374240428,8.69996673,8.244536585
P61750,9.572418478,7.424650091,8.475259957,8.321152037
P61982,8.964615312,7.764885356,7.209665042,8.411941378
P62259,8.435546429,8.862248517,8.18689134,7.4446019
P62737,8.260785957,7.892161265,6.836297956,9.089854554
P62806,7.287272277,8.404315886,8.248822295,8.980712544
P62827,9.025547195,8.766715087,8.238570649,6.359532059
P62962,9.813638347,7.340455417,9.194882965,6.014992368
P63017,8.211098385,8.572155391,7.506001616,7.44131156
P63101,7.97048523,7.533001452,7.270978151,8.55439234
P63260,7.887969153,8.169134819,6.819100666,9.805531845
P68040,9.471420336,7.093862734,7.409688619,8.015878916
P68369,8.484189982,8.403663332,6.534726833,8.465347964
P68433,8.961448504,6.089758222,9.56199364,8.06836508
P80318,9.456070568,7.184589782,8.18561935,8.257228652
P84078,7.730983218,7.588771319,9.732514178,8.843341858
P84228,8.286697298,8.881961018,5.896325455,8.849380685
P84244,7.326378547,7.555880248,7.218355047,8.953081527
P99024,8.374612812,8.553459662,8.053135197,6.147911541
Q00623,9.431812714,7.864292705,9.097497958,11.62918052
Q01149,11.24789271,9.647558337,11.76443204,7.94130065
Q01853,9.068906659,7.937424752,8.339692169,7.267284631
Q02013,8.547432798,8.640771638,7.409138954,9.06836409
Q08879,9.058072001,8.660697878,10.09837336,11.50209714
Q3THE2,7.455755437,7.154947279,9.45969609,8.194224838
Q3TTY5,9.18286932,8.209480496,10.05516235,7.205982813
Q5SGK3,8.245682514,8.510241729,10.64949841,9.250527094
Q60605.2,7.729627804,7.689998469,7.409710399,8.227301683
Q60605,8.985107353,7.421811189,8.93872967,9.79926145
Q60847.2,7.647137534,7.386284337,8.908495307,7.179685739
Q60847.5,7.647137534,7.386284337,8.908495307,8.794285299
Q60847,7.647137534,7.386284337,8.908495307,9.019072921
Q61414,10.76476727,10.22721882,11.98598382,10.13530041
Q61598.2,7.492699682,8.865845343,8.963587838,7.645578507
Q61598,8.000447699,8.211263363,8.811557905,7.649165362
Q61703,9.076732124,7.412495204,7.956310917,8.035276931
Q61838,8.463335083,7.736112893,8.838640418,8.607032828
Q62261.2,6.897946618,8.311885046,7.827528217,7.542406251
Q62261,7.344705393,9.420966419,9.461135715,6.71747155
Q62465,8.503331244,8.280040321,7.999220647,6.428456139
Q68FD5,7.735625986,10.88027293,7.423237162,8.093677937
Q6GQT1,6.419162093,6.95919083,8.495149374,10.63120525
Q6IFZ6,12.81269852,11.83008183,13.56916821,11.38905475
Q6IRU2,6.935940384,6.005736387,6.789139561,7.743492181
Q6NXH9,11.99496369,11.00636521,12.75652895,9.682798514
Q6P5H2.2,11.04567581,9.952337098,11.74193459,10.37839968
Q6P5H2,11.04567581,9.952337098,11.74193459,10.37839968
Q7TPR4,9.074154973,8.724056232,9.498159022,8.279061409
Q8BGZ7,8.503888721,10.19710092,6.460241758,8.548697453
Q8VCM8,6.907997567,6.663634573,7.405158351,7.987906966
Q8VDD5,7.520127185,7.693908188,8.089244635,9.015690208
Q8VED5,10.18965003,9.190417624,10.80555595,7.797195852
Q922R8,8.722587092,7.388647486,8.187913094,7.948614389
Q922U2,12.55505304,11.5388478,13.50043766,9.566879138
Q99K51,10.0468189,9.057121062,8.818448833,6.940053572
Q9D0J8,8.561413383,8.404827128,9.532233774,8.963349118
Q9D8N0,6.445309299,9.880642041,9.699940216,9.458086717
Q9DBJ1,8.770973399,8.48450244,7.976812283,8.294862875
Q9DCD0,8.107219033,8.487271681,7.300083556,6.844795071
Q9JLJ2.2,6.759958413,7.745892862,7.286934938,7.478487882
Q9JLJ2,9.293017853,8.462424418,8.254359991,7.632475533
Q9QWL7,7.972670103,10.22721882,6.912482832,10.13530041
Q9R111,7.399521027,8.903009774,7.247657426,7.882284218
Q9R117,6.940575506,9.002553884,10.79923674,9.07346776
Q9R118,8.665025805,8.46929531,8.438841097,9.627972879
Q9R1P0,6.989168978,8.419850526,8.490288774,8.987014514
Q9Z331,12.49626114,8.791701459,8.213410933,10.13801303
A0A087WR50,12.99581573,11.90214992,13.75740111,9.347731007
A0A087WS56,8.51216963,11.90214992,6.121763489,8.540210944
A0A087WSN6,12.99581573,11.90214992,13.75740111,8.776602554
A0A0A0MQF6,8.28912218,10.00375964,9.247002331,6.961496272
A0A0A0MQG2,7.428282962,8.645411386,8.357718302,8.586495744
A0A0N4SVU1,2.294157673,7.954809445,9.960393497,8.508470914
A0A0R4J263,7.211706183,7.305040768,7.305169826,7.234126938
A0A1C7CYV0,7.1289996,6.877273683,7.676747942,8.320243301
A0A1L1SRG5,8.670136663,9.463757344,6.624135641,8.852503172
A0A1L1SST0,9.745585052,7.615884903,6.907394167,8.351892069
A0A1W2P6F6,7.760922335,7.177777517,7.85532909,7.946361177
A0A1W2P768,9.235943612,8.329479049,6.34682498,7.463882609
A0A1W2P7Q9,9.069034401,9.155841257,8.629957891,8.684920051
A0A2R8VHC2,8.049992528,7.724757894,8.106367312,7.854156214
A0A2R8VHP3,9.41431602,6.743932126,13.23211494,5.466010125
A0A2R8W725,6.003676588,8.108431984,8.106367312,8.59604472
A0A338P692,11.62134417,7.67067193,8.07254315,8.302705472
A0A338P703,11.62134417,11.16742796,12.65285361,13.99413372
A0A338P7G1,11.62134417,11.16742796,12.65285361,13.99413372
A0A338P7H5,11.62134417,11.16742796,12.65285361,13.99413372
A0A6B9SLG6,7.972594502,6.908332931,8.140545691,6.536482496
A0A6C0WZK9,6.839987411,8.058838202,7.886488927,7.702047053
A0A6I8MX27,6.735302094,10.81599115,7.074292674,7.071103392
A0A8I4SYN6,8.931477472,7.767314369,8.568033089,8.571375084
A1BN54,8.469222791,7.405196666,7.655680289,8.839296185
A1L0U3,8.75006441,8.265151361,7.540418887,7.866104742
A1L0V4,10.33530976,6.664493348,8.090545754,7.64094452
A1L0X5,11.71536057,10.75128601,8.521139727,9.235509746
A2A513,10.26383406,9.188651303,11.35657605,9.237781443
A6ZI44,7.127461485,7.243537385,7.371171684,7.865942159
A7VL18,8.371130868,9.105880407,7.956185845,6.62673378
A8DUK0,4.788403595,7.358045048,5.839035826,8.12059847
A8DUK2,4.788403595,7.877658237,5.839035826,5.764762538
A8DUK4,4.788403595,9.033669839,5.839035826,6.813230049
A8DUK7,4.788403595,8.227548193,5.839035826,8.45857717
A8DUL0,4.788403595,9.226794705,5.839035826,8.20544729
A8DUL2,4.788403595,6.592376953,5.839035826,7.750096312
A8DUL5,4.788403595,5.424833066,5.839035826,7.926738413
A8DUL7,4.788403595,7.908433305,5.839035826,7.561882324
A8DUM2,4.788403595,8.327675961,5.839035826,7.621624315
A8DUN2,4.788403595,9.238901527,5.839035826,11.10746129
A8DUP5,4.788403595,8.879060558,5.839035826,10.48395056
A8DUP7,4.788403595,7.493967616,5.839035826,7.699268681
A8DUQ1,4.788403595,7.737064777,5.839035826,8.558571335
A8DUQ5,4.788403595,7.267688515,5.839035826,11.95872174
A8DUV1,9.584589555,7.019276557,7.787132104,6.848058509
A8DUV3,7.287414539,6.571921615,7.88296844,6.682928504
A8DV41,4.788403595,9.048670451,5.839035826,7.557873454
A8DV59,4.788403595,8.264200152,5.839035826,7.553926211
A8IP69,9.358279591,9.488941715,7.991939917,7.864844294
B1AQ77,10.76476727,10.22721882,11.98598382,10.13530041
B1AQ78,8.548309093,10.22721882,7.488429989,10.13530041
B1AX58,8.270456025,7.405390004,7.841531362,9.387752071
B1Q450,4.788403595,8.552364708,5.839035826,8.114931158
B2CQD6,9.058072001,8.660697878,10.09837336,11.50209714
B2CY77,8.335248757,9.101794546,8.96538293,8.422466455
B2MWM9,10.56242428,8.402272544,8.071884126,8.204950056
B2RRX1,9.117070027,8.075269075,8.424127217,9.805531845
B2RTK3,6.573456553,5.041272358,7.864790616,7.644594
B2RTM0,8.010653086,8.052451976,6.634114925,6.712989869
B2RTP7,9.18286932,8.209480496,10.05516235,9.361449623
B2RWX2,8.437586287,7.372318338,7.962627845,8.371937203
B2RXW7,7.256142137,7.372318338,7.962627845,8.371937203
B7ZNJ1,4.929514483,11.90214992,8.646302636,6.389765916
