From	To
E9Q414	Apob
O08553	Dpysl2
O08582	Gtpbp1
O35083	Agpat1
O55131	Septin7
P01027	C3
P01029	C4b
P01942	Hba
P02088	Hbb-b1
P02089	Hbb-b2
P02301	H3-5
P02535	Krt10
P04104	Krt1
P05064	Aldoa
P05213	Tuba1b
P05784	Krt18
P07356	Anxa2
P07724	Alb
P07901	Hsp90aa1
P08113	Hsp90b1
P08730	Krt13
P09103	P4hb
P09411	Pgk1
P10126	Eef1a1
P10854	H2bc14
P11087	Col1a1
P11276	Fn1
P11499	Hsp90ab1
P14069	S100a6
P14206	Rpsa
P14211	Calr
P16125	Ldhb
P16858	Gapdh
P17182	Eno1
P17742	Ppia
P18760	Cfl1
P19001	Krt19
P19157	Gstp1
P20029	Hspa5
P20152	Vim
P21107	Tpm3
P23927	Cryab
P26041	Msn
P26443	Glud1
P27773	Pdia3
P28665	Mug1
P29699	Ahsg
P35441	Thbs1
P40124	Cap1
P45376	Akr1b1
P48036	Anxa5
P48678	Lmna
P50446	Krt6a
P52480	Pkm
P56480	Atp5f1b
P58252	Eef2
P58774	Tpm2
P59999	Arpc4
P60710	Actb
P60843	Eif4a1
P61205	Arf3
P61750	Arf4
P61982	Ywhag
P62259	Ywhae
P62737	Acta2
P62806	H4c1
P62806	H4c11
P62806	H4c12
P62806	H4c14
P62806	H4c16
P62806	H4c2
P62806	H4c3
P62806	H4c4
P62806	H4c6
P62806	H4c8
P62806	H4c9
P62806	Hist1h4m
P62827	Ran
P62962	Pfn1
P63017	Hspa8
P63101	Ywhaz
P63260	Actg1
P68040	Rack1
P68369	Tuba1a
P68433	H3c1
P68433	H3c10
P68433	H3c11
P68433	H3c8
P80318	Cct3
P84078	Arf1
P84228	H3c13
P84228	H3c14
P84228	H3c15
P84228	H3c2
P84228	H3c3
P84228	H3c4
P84228	H3c6
P84228	H3c7
P84244	H3-3a
P84244	H3-3b
P99024	Tubb5
Q00623	Apoa1
Q01149	Col1a2
Q01853	Vcp
Q02013	Aqp1
Q08879	Fbln1
Q3THE2	Myl12b
Q3TTY5	Krt2
Q5SGK3	Aox2
Q60605	Myl6
Q60847	Col12a1
Q61414	Krt15
Q61598	Gdi2
Q61703	Itih2
Q61838	Pzp
Q62261	Sptbn1
Q62465	Vat1
Q68FD5	Cltc
Q6GQT1	A2m
Q6IFZ6	Krt77
Q6IRU2	Tpm4
Q6NXH9	Krt73
Q6P5H2	Nes
Q7TPR4	Actn1
Q8BGZ7	Krt75
Q8VCM8	Ncln
Q8VDD5	Myh9
Q8VED5	Krt79
Q922R8	Pdia6
Q922U2	Krt5
Q99K51	Pls3
Q9D0J8	Ptms
Q9D8N0	Eef1g
Q9DBJ1	Pgam1
Q9DCD0	Pgd
Q9JLJ2	Aldh9a1
Q9QWL7	Krt17
Q9R111	Gda
Q9R117	Tyk2
Q9R118	Htra1
Q9R1P0	Psma4
Q9Z331	Krt6b
A0A087WR50	Fn1
A0A087WS56	Fn1
A0A087WSN6	Fn1
A0A0A0MQF6	Gapdh
A0A0A0MQG2	Sptbn1
A0A0N4SVU1	Gm7298
A0A0R4J263	Agpat1
A0A1C7CYV0	Pls3
A0A1L1SRG5	Cryab
A0A1L1SST0	Ppia
